"","strFrom","strTo","freq"
"127","Pick","turnover",51
"128","Pick_Screener","Post",0
"129","Pk_Hdof.Rc","1on1",5
"130","Pk_Hdof.Rc","Cut",0
"131","Pk_Hdof.Rc","Dime in",0
"132","Pk_Hdof.Rc","field_goal",0
"133","Pk_Hdof.Rc","foul",1
"134","Pk_Hdof.Rc","Hdoff",1
"135","Pk_Hdof.Rc","Hdoff.E.Re-Pick",1
"136","Pk_Hdof.Rc","Pick",2
"137","Pk_Hdof.Rc","Post",0
"138","Pk_Hdof.Rc","Scr_Hdof.Mk",6
"139","Pk_Hdof.Rc","Screen",2
"140","Pk_Hdof.Rc","Spotup",3
"141","Pk_Hdof.Rc","Stg.Pk",1
"142","Pk_Hdof.Rc","turnover",0
"143","Pk_Scr.Rc","1on1",2
"144","Pk_Scr.Rc","Dime in",1
"145","Pk_Scr.Rc","field_goal",2
"146","Pk_Scr.Rc","foul",2
"147","Pk_Scr.Rc","None",0
"148","Pk_Scr.Rc","Pick",1
"149","Pk_Scr.Rc","Post",1
"150","Pk_Scr.Rc","Re-Pick",0
"151","Pk_Scr.Rc","Screen",0
"152","Pk_Scr.Rc","Spotup",5
"153","Pk_Scr.Rc","turnover",1
"154","Pk.E.Scr","1on1",0
"155","Pk.E.Scr","Dime in",1
"156","Pk.E.Scr","field_goal",1
"157","Pk.E.Scr","Hdoff",0
"158","Pk.E.Scr","Pick",1
"159","Pk.E.Scr","Rc.Scr.E.Pk",1
"160","Pk.E.Scr","Scr.E.Pk_SamePl",0
"161","Pk.E.Scr","Screen",0
"162","Pk.E.Scr","Seq.Scr.Mk",1
"163","Pk.E.Scr","Stg.Scr",0
"164","Pk.E.Scr","turnover",0
"165","Post","1on1",4
"166","Post","Cut",16
"167","Post","Dime in",11
"168","Post","field_goal",108
"169","Post","foul",43
"170","Post","Hdof F Post",1
"171","Post","Hdof/Post",8
"172","Post","Hdoff",2
"173","Post","Pick",8
"174","Post","Pk_Scr.Rc",0
"175","Post","Post",2
"176","Post","Screen",5
"177","Post","Spotup",37
"178","Post","Stg.Scr",0
"179","Post","turnover",29
"180","Rc.Hdof.E.Mk.One","1on1",0
"181","Rc.Hdof.E.Mk.One","field_goal",2
"182","Rc.Hdof.E.Mk.One","foul",0
"183","Rc.Hdof.E.Mk.One","Pk_Hdof.Rc",1
"184","Rc.Hdof.E.Mk.One","Post",1
"185","Rc.Hdof.E.Mk.One","Rc.Hdof.E.Mk.One",1
"186","Rc.Hdof.E.Mk.One","Spotup",1
"187","Rc.Hdof.E.Mk.One","turnover",1
"188","Rc.Pk.E.Mk.Hdof","field_goal",0
"189","Rc.Pk.E.Mk.Hdof","Hdoff",1
"190","Rc.Pk.E.Mk.Hdof","None",1
"191","Rc.Pk.E.Mk.Hdof","Pick",1
"192","Rc.Pk.E.Mk.Hdof","Pk_Hdof.Rc",1
"193","Rc.Pk.E.Mk.Hdof","Post",1
"194","Rc.Pk.E.Mk.Hdof","Rc.Hdof.E.Mk.One",2
"195","Rc.Scr.E.Mk.Hdof","field_goal",1
"196","Rc.Scr.E.Mk.Hdof","foul",1
"197","Rc.Scr.E.Mk.Hdof","None",1
"198","Rc.Scr.E.Mk.Hdof","Pick",0
"199","Rc.Scr.E.Mk.Hdof","Pk_Hdof.Rc",0
"200","Rc.Scr.E.Mk.Hdof","Pk_Scr.Rc",0
"201","Rc.Scr.E.Mk.Hdof","Stg.Scr",0
"202","Rc.Scr.E.Mk.Hdof","turnover",0
"203","Rc.Scr.E.MkOne","1on1",0
"204","Rc.Scr.E.MkOne","field_goal",1
"205","Rc.Scr.E.MkOne","foul",0
"206","Rc.Scr.E.MkOne","Hdoff",0
"207","Rc.Scr.E.MkOne","Pick",0
"208","Rc.Scr.E.MkOne","Pick_Screener",0
"209","Rc.Scr.E.MkOne","Post",0
"210","Rc.Scr.E.MkOne","Rc.Scr.E.MkOne",0
"211","Rc.Scr.E.MkOne","Scr_Scrner",5
"212","Rc.Scr.E.MkOne","Scr.E.Pk_SamePl",0
"213","Rc.Scr.E.MkOne","Screen",0
"214","Rc.Scr.E.MkOne","Stg.Scr",5
"215","Rc.Scr.E.Pk","1on1",2
"216","Rc.Scr.E.Pk","Cut",0
"217","Rc.Scr.E.Pk","Dime in",0
"218","Rc.Scr.E.Pk","field_goal",10
"219","Rc.Scr.E.Pk","foul",3
"220","Rc.Scr.E.Pk","Hdoff",1
"221","Rc.Scr.E.Pk","None",0
"222","Rc.Scr.E.Pk","Pick",9
"223","Rc.Scr.E.Pk","Pk.E.Scr",0
"224","Rc.Scr.E.Pk","Post",3
"225","Rc.Scr.E.Pk","Rc.Scr.E.MkOne",1
"226","Rc.Scr.E.Pk","Re-Pick",0
"227","Rc.Scr.E.Pk","Scr_Pker",0
"228","Rc.Scr.E.Pk","Scr_Scrner",1
"229","Rc.Scr.E.Pk","Scr.E.Pk",0
"230","Rc.Scr.E.Pk","Screen",1
"231","Rc.Scr.E.Pk","Spotup",10
"232","Rc.Scr.E.Pk","Stg.Pk",7
"233","Rc.Scr.E.Pk","turnover",0
"234","Re-Pick","1on1",1
"235","Re-Pick","Cut",1
"236","Re-Pick","Dime in",1
"237","Re-Pick","field_goal",7
"238","Re-Pick","foul",2
"239","Re-Pick","Hdoff",3
"240","Re-Pick","Pick",5
"241","Re-Pick","Pk.E.Scr",0
"242","Re-Pick","Post",2
"243","Re-Pick","Re-Pick",0
"244","Re-Pick","Screen",1
"245","Re-Pick","Spotup",15
"246","Re-Pick","Stg.Pk",1
"247","Re-Pick","turnover",1
"248","Re-Screen","1on1",0
"249","Re-Screen","field_goal",3
"250","Re-Screen","foul",2
"251","Re-Screen","Hdof_Scr.Rc",2
"252","Re-Screen","Hdoff",0
"253","Re-Screen","Pick",0
"254","Re-Screen","Post",1
"255","Re-Screen","Scr.E.Pk",0
"256","Re-Screen","Scr.E.Pk_SamePl",2
"257","Re-Screen","Spotup",1
"258","Re-Screen","Stg.Scr",0
"259","Re-Screen","turnover",2
"260","Scr_Hdof.Mk","Pick",2
"261","Scr_Hdof.Mk","Pk_Hdof.Rc",1
"262","Scr_Hdof.Mk","Screen",0
"263","Scr_Hdof.Mk","Stg.Scr",12
"264","Scr_Pker","1on1",0
"265","Scr_Pker","field_goal",1
"266","Scr_Pker","foul",0
"267","Scr_Pker","Hdof/Post",1
"268","Scr_Pker","Pick",0
"269","Scr_Pker","Post",0
"270","Scr_Pker","Rc.Scr.E.Mk.Hdof",0
"271","Scr_Pker","Rc.Scr.E.Pk",0
"272","Scr_Pker","Scr_Scrner",0
"273","Scr_Pker","Scr.E.Pk",5
"274","Scr_Pker","Screen",0
"275","Scr_Pker","Spotup",0
"276","Scr_Pker","Stg.Scr",1
"277","Scr_Scrner","1on1",2
"278","Scr_Scrner","Cut",7
"279","Scr_Scrner","Dime in",1
"280","Scr_Scrner","field_goal",10
"281","Scr_Scrner","foul",6
"282","Scr_Scrner","Hdoff",4
"283","Scr_Scrner","None",1
"284","Scr_Scrner","Pick",10
"285","Scr_Scrner","Post",15
"286","Scr_Scrner","Rc.Scr.E.MkOne",0
"287","Scr_Scrner","Rc.Scr.E.Pk",3
"288","Scr_Scrner","Scr_Scrner",1
"289","Scr_Scrner","Scr.E.Pk",1
"290","Scr_Scrner","Scr.E.Pk_SamePl",4
"291","Scr_Scrner","Screen",7
"292","Scr_Scrner","Seq.Scr.Mk",0
"293","Scr_Scrner","Spotup",7
"294","Scr_Scrner","Stg.Scr",1
"295","Scr_Scrner","turnover",4
"296","Scr.E.Hdof","Cut",1
"297","Scr.E.Hdof","field_goal",2
"298","Scr.E.Hdof","Screen",1
"299","Scr.E.Hdof","Spotup",1
"300","Scr.E.Pk","1on1",4
"301","Scr.E.Pk","Cut",3
"302","Scr.E.Pk","Dime in",2
"303","Scr.E.Pk","field_goal",19
"304","Scr.E.Pk","foul",3
"305","Scr.E.Pk","Hdof_Scr.Rc",1
"306","Scr.E.Pk","Hdoff",1
"307","Scr.E.Pk","Pick",6
"308","Scr.E.Pk","Post",4
"309","Scr.E.Pk","Re-Pick",3
"310","Scr.E.Pk","Scr.E.Pk_SamePl",1
"311","Scr.E.Pk","Screen",10
