idPartida;cestinhaJogador1;cestinhaPontos1;cestinhaJogador2;cestinhaPontos2;cestinhaDestaque;assistenciaJogador1;assistencia1;assistenciaJogador2;assistencia;assistenciaDestaque;reboteJogador1;rebote1;reboteJogador2;rebote;reboteDestaque
2247;;;;;;;;;;;;;;;;
2464;433;17;57;23;;433;4;446;5;;859;7;273;6;;
2465;1232;12;427;36;;134;4;424;12;;1232;7;427;7;;
2466;64;21;982;17;;58;4;423;4;;1041;7;26;5;;
2467;;;;;;;;;;;;;;;;
2468;29;14;153;20;;612;5;268;2;;612;7;9999;9;;
2469;412;18;483;20;;39;5;483;4;;404;9;598;10;;
2470;1023;22;797;27;;1058;7;23;6;;1062;7;309;4;;
2471;1011;20;973;31;;1011;6;478;8;;62;10;973;15;;
2472;433;5;284;6;;433;1;794;2;;433;3;1050;1;;
2473;137;23;159;18;;445;7;446;4;;351;10;159;8;;
2474;954;19;425;20;;58;6;424;11;;299;7;91;8;;
2475;1001;19;26;18;;1232;3;182;4;;134;8;182;9;;
2476;26;22;214;11;;555;4;214;6;;182;9;25;5;;
2477;424;25;191;19;;91;4;166;3;;394;8;191;8;;
2478;273;23;58;19;;57;4;58;5;;273;14;954;8;;
2479;31;19;35;21;;315;8;134;4;;1226;6;1001;8;;
2480;478;21;147;16;;420;5;433;5;;190;11;859;10;;
2481;1047;26;137;25;;1047;3;137;3;;23;6;351;6;;
2482;482;17;1058;15;;853;2;1058;2;;530;7;1027;9;;
2483;153;21;1017;19;;153;4;1013;3;;119;6;1016;9;;
2484;404;19;95;20;;152;5;621;8;;122;5;786;6;;
2485;425;24;187;15;;424;7;133;3;;427;7;25;8;;
2486;423;14;948;22;;26;6;417;3;;555;7;191;11;;
2487;31;16;174;20;;366;9;58;9;;1226;11;174;5;;
2488;273;20;134;12;;57;5;35;1;;273;10;117;9;;
2489;797;27;241;23;;797;2;342;3;;431;6;859;10;;
2490;192;27;1021;14;;478;3;484;2;;973;13;351;7;;
2491;275;20;1058;19;;153;6;1058;5;;1038;9;1027;9;;
2492;367;23;62;15;;853;5;1011;5;;598;9;1011;6;;
2493;1017;20;621;24;;1011;5;612;6;;62;6;175;12;;
2494;1058;34;152;23;;1058;4;152;4;;1058;7;404;12;;
2495;1021;27;119;18;;210;5;153;5;;137;6;119;14;;
2496;241;22;367;27;;433;6;853;5;;203;8;482;8;;
2497;134;17;23;16;;1001;6;797;4;;395;7;1047;4;;
2498;1041;30;146;23;;58;5;478;5;;299;5;973;6;;
2499;86;32;31;26;;86;4;315;6;;271;8;1226;9;;
2500;187;21;273;23;;214;6;57;8;;187;10;446;5;;
2501;448;22;425;17;;423;6;424;5;;182;10;782;5;;
2502;1062;16;95;19;;51;2;621;5;;51;6;175;5;;
2503;62;17;168;15;;1011;6;995;4;;62;10;404;5;;
2504;241;20;153;15;;433;8;153;3;;203;9;1038;9;;
2505;1021;21;267;36;;137;7;482;4;;484;7;482;14;;
2506;1002;22;478;21;;117;8;192;6;;1232;7;973;7;;
2507;1040;22;1047;22;;58;8;797;7;;58;9;1047;7;;
2508;154;20;31;20;;214;9;366;10;;796;12;1226;7;;
2509;166;19;273;18;;86;5;446;5;;271;10;159;7;;
2595;845;0;833;0;833;845;0;833;0;833;845;0;833;0;833;
2596;;;;;;;;;;;;;;;;
2626;1064;2;1116;0;1064;1064;0;1116;0;1116;1064;0;1116;0;1116;
2627;1081;19;;10;1081;1081;5;;3;1081;837;7;;8;;
2654;982;14;1047;18;;423;7;797;4;;182;8;431;8;;
2655;797;17;423;13;;1047;5;26;4;;431;9;448;4;;
2656;182;24;1047;24;;423;8;797;3;;448;12;311;9;;
2657;;;;;;;;;;;;;;;;
2658;;;;;;;;;;;;;;;;
2659;1021;19;152;25;;449;7;152;8;;137;6;404;10;;
2660;365;15;137;19;;152;7;137;5;;404;10;484;7;;
2661;137;22;365;15;;137;6;365;5;;351;8;122;5;;
2662;39;21;137;19;;152;5;137;6;;404;9;137;9;;
2663;137;28;39;14;;1021;7;122;3;;137;10;152;8;;
2664;214;16;134;14;;214;7;1232;5;;187;17;1232;8;;
2665;35;21;824;24;;825;8;796;6;;35;9;187;9;;
2666;447;21;134;18;;796;7;825;8;;447;7;395;6;;
2667;134;16;187;21;;825;3;214;9;;395;6;187;11;;
2669;57;29;203;15;;57;4;433;3;;273;12;145;6;;
2670;241;20;105;22;;360;3;30;4;;203;10;159;14;;
2671;446;16;859;7;;57;3;241;2;;159;3;147;3;;
2672;433;17;57;26;;147;3;57;4;;433;7;159;7;;
2673;159;18;433;16;;140;4;241;4;;273;10;203;8;;
2674;366;25;447;18;;366;5;214;4;;1226;14;154;6;;
2675;187;21;78;19;;214;13;78;4;;187;9;1226;7;;
2676;366;36;187;25;;366;7;214;6;;1226;9;214;10;;
2677;187;25;78;18;;214;7;315;5;;187;11;34;6;;
2678;366;16;796;29;;366;5;214;6;;1226;12;187;10;;
2679;425;39;107;24;;424;11;137;8;;424;9;107;9;;
2680;445;14;427;24;;1021;4;424;6;;445;4;424;11;;
2681;394;16;1021;32;;480;4;210;6;;425;8;137;7;;
2682;137;19;427;20;;137;5;424;7;;445;4;480;5;;
2683;480;22;210;20;;424;6;107;5;;782;8;351;3;;
2684;973;23;96;18;;81;4;423;6;;192;9;423;7;;
2685;555;14;192;21;;423;9;192;6;;182;10;190;10;;
2686;192;20;96;19;;192;6;96;3;;973;12;558;5;;
2687;555;19;973;16;;423;14;190;3;;448;12;190;11;;
2688;192;27;979;19;;420;7;182;4;;973;11;182;7;;
2689;433;22;367;24;;433;6;853;10;;859;12;853;5;;
2690;367;19;151;16;;367;3;433;6;;367;6;859;6;;
2691;482;22;147;19;;853;6;241;3;;482;13;859;9;;
2694;598;23;214;20;;853;6;447;3;;598;7;187;8;;
2695;154;27;367;17;;214;13;367;5;;154;13;598;8;;
2696;482;18;187;20;;853;4;155;2;;598;10;214;7;;
2697;154;23;367;29;;214;9;853;4;;154;6;482;7;;
2698;267;26;187;23;;530;6;214;9;;367;11;154;7;;
2699;427;21;192;16;;480;7;478;6;;427;8;190;8;;
2700;420;22;40;23;;420;5;480;5;;85;7;782;9;;
2701;427;19;146;24;;480;14;192;8;;427;7;190;10;;
2704;275;32;328;22;;153;6;1266;3;;119;8;1266;10;;
2705;1263;22;390;19;;789;2;188;5;;1266;17;1254;10;;
2706;119;14;502;15;;153;5;188;4;;1038;8;1059;4;;
2707;598;23;394;20;;267;3;424;6;;482;12;427;9;;
2708;1371;22;1333;18;;1378;3;568;8;;1365;12;568;9;;
2709;660;26;1276;7;;660;5;1098;0;;1337;8;1098;5;;
2710;1379;16;1296;14;;1071;2;1186;4;;1379;13;1189;10;;
2711;1091;20;1308;18;;1087;2;1307;3;;1284;6;1179;11;;
2712;1068;24;1134;24;;1064;4;11112;4;;1068;13;1134;11;;
2713;1381;25;1365;15;;1381;3;1371;5;;1272;7;1377;9;;
2714;1296;21;1325;24;;1295;3;568;9;;1296;10;568;14;;
2715;;;;;;;;;;;;;;;;
2716;1305;27;1337;24;;1305;4;1340;1;;1179;9;1337;10;;
2717;11112;24;550;10;;11112;6;1351;2;;1134;14;1079;7;;
2718;1091;13;1067;14;;1090;5;1064;5;;1091;8;1068;12;;
2719;1365;21;1189;15;;1364;3;1294;2;;1377;5;1190;9;;
2720;1381;7;1305;32;;1100;1;1304;3;;1276;4;744;10;;
2721;1325;32;1335;27;;568;7;1022;4;;1323;12;1054;11;;
2722;1337;24;1068;25;;1335;2;531;3;;1337;11;843;9;;
2723;1071;21;1091;25;;1072;1;1087;3;;1079;15;1283;9;;
2724;744;19;1371;21;;1305;7;1365;2;;1179;15;1365;5;;
2725;1189;18;1134;22;;1295;3;11112;5;;1189;10;1134;8;;
2726;1360;20;1275;11;;1068;7;1098;4;;1064;7;1381;9;;
2727;1091;15;568;19;;1091;3;568;8;;1284;7;568;7;;
2728;1339;22;1353;19;;1335;4;1071;2;;1337;18;1379;8;;
2729;1137;20;1371;19;;1133;4;1378;5;;1137;14;1365;9;;
2730;1064;17;1305;22;;1064;7;744;4;;1068;10;1308;8;;
2731;1091;15;570;17;;1090;4;1184;3;;672;11;1296;7;;
2732;1353;15;1381;13;;1349;3;1098;5;;550;5;1277;7;;
2733;1323;15;1341;18;;568;4;1338;5;;1333;14;1337;9;;
2734;1305;19;1079;17;;586;3;1354;2;;1179;6;1079;7;;
2735;11112;13;1091;21;;1133;4;1288;4;;1133;6;672;16;;
2736;1371;13;1069;24;;1367;4;1064;4;;1365;9;1068;8;;
2737;570;15;1337;15;;1184;3;1338;4;;1294;7;1337;11;;
2738;1381;20;568;20;;1274;2;1325;5;;1277;7;1333;13;;
2739;672;23;1371;21;;1288;10;1378;4;;672;10;1373;10;;
2740;1067;23;1353;12;;1064;9;1072;2;;1067;7;1379;10;;
2741;660;26;11112;21;;1337;6;11112;7;;1337;17;1137;10;;
2742;1328;16;586;15;;568;4;586;3;;1333;8;1179;12;;
2743;1190;19;1100;13;;1296;4;1381;5;;1296;6;1276;5;;
2744;1379;21;1378;17;;1071;8;1378;7;;1354;9;1377;9;;
2745;1305;18;1296;21;;1305;2;1294;3;;744;11;1189;8;;
2746;1325;20;1067;22;;568;9;1064;6;;568;12;1064;10;;
2747;11112;17;1275;11;;11112;6;1275;2;;1133;13;1101;8;;
2748;1339;32;672;15;;1338;4;1288;3;;1337;17;672;9;;
2749;1064;26;1296;13;;1064;7;1295;1;;1064;7;1190;10;;
2750;550;14;1323;12;;1071;3;568;8;;550;9;1333;9;;
2751;11112;25;1176;19;;1136;5;1305;6;;1130;11;1172;9;;
2752;1381;16;1090;16;;1275;4;1288;3;;1272;7;768;15;;
2753;1365;19;1339;23;;1377;3;1338;3;;1373;11;1337;16;;
2755;1116;10;1128;20;;11116;2;11180;3;;1121;10;1128;9;;
2756;11136;15;11185;17;;11132;5;714;1;;11136;8;714;8;;
2757;11201;12;838;22;;11196;2;1158;7;;735;5;1164;10;;
2758;11167;13;739;25;;11163;4;791;4;;11213;14;11125;8;;
2759;1146;15;11148;17;;1143;4;709;4;;1146;8;709;7;;
2760;11185;15;11119;13;;11186;3;594;3;;11188;7;1121;15;;
2761;1158;19;556;14;;1158;5;11179;2;;838;7;11179;5;;
2762;739;23;11136;23;;791;4;11212;4;;11130;6;11136;10;;
2763;709;18;1149;20;;709;5;1149;6;;1191;13;11197;9;;
2764;11165;17;1076;13;;11162;4;1143;5;;11166;9;1146;13;;
2765;1165;15;1158;14;;1121;3;1158;5;;1121;12;753;13;;
2766;11185;18;11130;23;;714;2;791;3;;11185;9;11130;9;;
2767;626;22;11146;22;;11174;3;709;5;;1128;9;638;10;;
2768;11139;15;1076;19;;11138;5;1143;4;;11136;14;11161;7;;
2769;1149;20;11163;22;;735;3;11163;4;;735;9;11213;13;;
2770;739;20;1121;16;;11130;6;1121;3;;737;7;1121;10;;
2771;764;17;709;21;;1158;4;11146;2;;764;5;709;8;;
2772;1076;17;11185;18;;1143;5;11188;1;;1146;11;714;15;;
2773;11163;17;1128;16;;11162;3;751;3;;11164;8;626;10;;
2774;11212;13;735;15;;11136;4;735;4;;836;8;11204;11;;
2775;709;18;1135;22;;1191;3;1165;5;;1191;7;1121;11;;
2776;1144;20;11130;25;;1143;9;11130;7;;11152;7;11125;8;;
